playerID,H,AB,Games,HR
aaronha01,3771,12364,3298,755
aaronto01,216,944,437,13
abadan01,2,21,15,0
abadijo01,11,49,12,0
abbated01,772,3044,855,11
abbeych01,492,1751,451,19
abbotda01,1,7,3,0
abbotfr01,107,513,160,1
abbotje01,157,596,233,18
abbotku01,523,2044,702,62
abbotod01,13,70,22,0
abercda01,0,4,1,0
abercre01,86,386,180,9
abernbi01,0,1,1,0
abernbr01,212,868,232,8
aberscl01,45,179,63,5
abnersh01,191,840,392,11
abramca01,433,1611,567,32
abramge01,1,1,3,0
abreubo01,2470,8480,2425,288
abreujo01,6,28,9,1
abreujo02,537,1793,458,91
abreuto01,147,579,224,6
abstebi01,150,619,170,1
ackledu01,512,2125,635,46
acostme01,111,436,180,0
adairje01,1022,4019,1165,57
adairji01,21,76,18,0
adamecr01,63,293,154,2
adamsbe01,137,678,267,2
adamsbo01,1,3,2,0
adamsbo03,1082,4019,1281,37
adamsbo04,6,24,15,2
adamsbu01,532,2003,576,50
adamsda02,27,140,43,2
adamsdi01,18,89,37,2
adamsdo01,3,14,8,0
adamsge01,3,13,4,0
adamsgl01,452,1617,661,34
adamshe01,88,337,95,0
adamsji01,1,4,1,0
adamsjo01,0,2,1,0
adamsla01,0,3,6,0
adamsma01,373,1381,455,55
adamsmi02,23,118,100,3
adamsri02,53,247,120,4
adamsru01,218,884,286,17
adamsry01,25,89,29,0
adamssp01,1588,5557,1424,9
adamssp02,101,395,180,0
adcocjo01,1832,6606,1959,336
addisbo01,150,534,208,2
adducji01,34,144,70,1
adducji02,25,132,61,1
addybo01,341,1231,274,1
aderhmo01,70,262,106,3
adkindi01,1,7,3,0
adkinhe01,2,5,1,0
adlesda01,43,256,106,1
adriaeh01,64,291,154,3
afenitr01,15,79,45,0
agbaybe01,299,1091,383,39
ageeto01,999,3912,1129,130
agganha01,135,517,157,11
aglerjo01,185,751,234,0
agnewsa01,314,1537,563,2
aguaylu01,260,1104,568,37
aguilch01,53,230,149,3
aguilje01,10,58,35,0
ahearch01,1,4,1,0
ahmedni01,171,775,249,14
aikenwi01,675,2492,774,110
aingeda01,146,665,211,2
ainsmed01,707,3048,1078,22
aitonge01,4,17,10,0
akejo01,10,52,13,0
akersbi01,124,475,174,11
alberbu01,5,18,6,0
albergu01,84,426,120,1
alberha01,30,155,76,0
albreed01,0,3,3,0
albrija01,23,99,41,2
alcanar01,63,323,97,10
alcanis01,31,115,51,6
alcarlu01,70,365,115,4
alcocsc01,27,156,54,0
aldremi01,565,2147,930,41
aldrico01,1,18,13,0
alenoch01,67,320,118,2
alexada01,811,2450,662,61
alexaga01,293,1276,432,55
alexahu01,1,11,7,0
alexama01,36,168,367,0
alexama02,293,1271,591,15
alexani01,9,69,20,0
alexawa01,76,405,162,1
alfarja01,2,11,7,0
alfarjo01,2,16,6,0
alfoned01,1532,5385,1506,146
alfonel01,142,591,193,17
alicelu01,1031,3971,1341,47
allanan01,357,1486,512,16
allenbe01,815,3404,1139,73
allenbo01,532,2211,606,14
allenbo02,3,22,9,0
allenbo03,1,3,3,0
allenbr01,70,344,116,12
allench01,229,851,267,14
allendi01,1848,6332,1749,351
allendu01,7,28,27,2
allenet01,1325,4418,1281,47
allenga01,235,1061,416,19
allenha01,18,66,16,0
allenha02,212,881,389,6
allenhe01,2,3,1,0
allenho01,0,7,4,0
allenja01,16,108,27,0
allenja02,61,273,86,4
allenje01,268,1031,342,15
allenki01,12,54,42,0
allenlu01,1,9,8,0
allenni01,116,500,216,0
allenpe01,0,4,1,0
allenro01,1,11,7,1
allenro02,11,50,31,0
allensl01,3,23,14,0
alleyge01,999,3927,1195,55
alliebo01,8,45,21,1
alliega01,83,418,121,3
allisan01,15,93,24,0
allisar01,188,740,168,1
allisbi01,3,19,5,0
allisbo01,1281,5032,1541,256
allisdo01,381,1407,318,2
allismi01,13,60,49,0
allrebe01,38,165,65,4
almadme01,706,2483,646,15
almeira01,77,285,102,3
almonab01,172,690,233,11
almonbi01,846,3330,1236,36
almoner01,31,133,55,2
almonzo01,30,142,47,2
almoral01,31,112,47,3
alomaro01,2724,9073,2379,210
alomasa01,1168,4760,1481,13
alomasa02,1236,4530,1377,112
alonsyo01,565,2103,664,39
aloufe01,2101,7339,2082,206
alouje01,1216,4345,1380,32
alouma01,1777,5789,1667,31
aloumo01,2134,7037,1942,332
alperwh01,387,1632,450,7
alstode01,79,332,189,3
alstoto01,66,271,91,4
alstowa01,0,1,1,0
altenje01,9,31,19,0
altheaa01,72,340,98,9
altizda01,433,1734,514,4
altmage01,832,3091,991,101
altobjo01,54,257,166,5
altuvjo01,1046,3361,829,60
alusige01,167,652,298,23
alvarcl01,1,5,2,0
alvarda02,8,32,14,1
alvarga01,59,266,92,7
alvarlu01,248,1160,463,5
alvaror01,8,51,25,2
alvaros01,42,198,95,0
alvarpe01,674,2837,851,153
alvarro01,7,37,17,0
alvarto01,16,64,38,2
alvisma01,895,3629,1013,111
alvorbi01,270,1069,265,3
alyeabr01,214,866,371,38
amalfjo01,418,1715,643,9
amarari01,493,1788,727,11
amarial01,364,1582,605,18
amaroru01,505,2155,940,8
amaroru02,218,927,485,16
amblewa01,175,782,271,0
ambrech01,44,189,80,4
amelued01,11,57,42,0
amezaal01,348,1408,584,12
amorosa01,334,1311,517,43
anderal01,93,390,126,1
anderan01,41,223,122,2
anderbi01,0,1,2,0
anderbr01,1661,6499,1834,210
anderbr03,181,799,355,22
anderbr05,15,68,40,0
anderda02,490,2026,873,19
anderdr01,1,9,9,0
anderdw01,62,306,149,1
anderfe01,61,234,97,2
anderga01,2529,8640,2228,287
anderge01,289,1007,269,5
andergo01,85,413,127,1
anderha01,8,32,9,0
anderha02,419,1586,484,60
anderji01,211,970,419,13
anderjo01,1841,6341,1635,49
anderjo03,132,486,179,4
anderke01,95,366,135,1
anderla03,8,48,30,0
anderma02,849,3204,1151,63
andermi01,367,1490,721,28
andermi02,0,1,3,0
andersp01,104,477,152,0
anderti01,116,410,99,9
andinro01,313,1344,481,18
andreed01,830,3233,774,12
andreer01,4,41,15,0
andrefr01,8,29,16,0
andreji01,38,202,53,3
andreki01,1,2,2,0
andremi01,803,3116,893,66
andrero01,365,1454,493,3
andresh01,375,1704,569,86
andrest01,32,149,70,1
andrewa01,28,142,40,0
andrubi01,0,9,6,0
andruel01,1266,4625,1221,35
andrufr01,12,41,9,0
andruwi01,0,4,1,0
anglema01,14,79,31,1
angleto01,4,16,5,0
ankenpa01,7,29,15,0
annade01,3,23,13,1
annisbi01,17,96,27,0
ansonca01,3418,10277,2523,97
anthoer01,462,1999,682,78
antoljo01,2,6,4,0
antonbi01,7,43,40,1
antonjo01,133,528,135,1
antonma01,11,57,21,1
aokino01,681,2380,649,28
aparilu01,2677,10230,2601,83
applefr01,2,7,3,0
applilu01,2749,8856,2422,45
aragoan01,9,76,32,0
archdma01,128,384,127,0
archeji01,660,2646,847,16
archige01,115,421,121,3
arciajo01,132,615,293,1
arciaor01,44,201,55,4
arciaos01,231,983,288,44
ardelda01,1,4,7,0
ardnejo01,88,415,110,0
ardoida01,87,423,165,8
arenano01,613,2152,561,111
arencjp01,333,1573,467,80
arftha01,229,906,300,13
ariasal01,470,1773,775,18
ariasge01,114,480,173,14
ariasjo01,279,1052,474,7
arletbu01,131,418,121,18
armasma01,6,31,15,1
armasto01,1302,5164,1432,251
armbrch01,53,355,131,0
armbred01,65,265,224,4
armbrha01,63,265,91,2
armbror01,0,4,3,0
armstbo01,11,49,12,0
armstge01,1,6,8,0
armstho01,0,1,1,0
arndtha01,244,985,271,6
arndtla01,1,6,2,0
arnolbi01,1,7,2,0
arnolch01,103,435,273,4
arnovmo01,577,2013,590,22
arrueer01,8,41,22,0
arundtu01,45,260,76,0
asadora01,20,55,15,0
asbelji01,6,33,17,0
asbjoca01,52,221,97,1
ascheco01,284,1181,371,31
ashburi01,2574,8365,2189,29
ashbyal01,1010,4123,1370,90
ashfotu01,111,510,219,6
ashlebi01,144,618,281,28
ashlene01,2,20,12,0
asmusto01,0,5,2,0
asprobo01,1103,4369,1324,60
asproke01,369,1483,475,19
asselbr01,146,574,284,12
astrojo01,401,1579,544,13
asuajca01,5,24,7,0
atherch01,60,242,65,0
atkined01,0,8,2,0
atkinga01,835,2928,817,99
atkinle01,0,1,1,0
attredi01,31,144,61,1
atwelto01,290,1117,378,9
atwoobi01,220,961,342,7
atzja01,132,605,209,0
aubreha01,69,325,96,0
aubremi01,35,135,46,6
auderi01,34,151,62,2
auerbri01,309,1407,624,9
augusda01,6,29,29,0
auldsle01,1,4,3,0
aultdo01,168,713,256,17
aurilri01,1576,5721,1652,186
ausmubr01,1579,6279,1971,80
austihe01,25,101,23,0
austiji01,1328,5388,1579,13
austity01,20,83,31,5
autryal01,0,2,1,0
autrych01,50,257,81,0
autrych02,68,277,118,2
avenbr01,166,609,259,20
averiea01,2019,6353,1668,238
averiea02,249,1031,449,44
averyxa01,21,94,32,1
avilaal01,540,2253,740,73
avilabo01,1296,4620,1300,80
avilemi01,766,2923,878,59
avilera01,51,190,116,2
avreaja01,0,2,2,0
ayalabe01,217,865,425,38
aybarer01,1324,4842,1346,51
aybarwi01,315,1219,405,33
aylwadi01,0,3,4,0
ayraujo01,1,5,7,0
azcuejo01,712,2828,909,50
azocaos01,99,439,202,5
babbch01,287,1180,347,0
babelo01,85,382,120,2
babinch01,8,33,28,0
babitsh01,40,156,54,0
backmwa01,893,3245,1102,10
baconed01,3,6,4,0
baderar01,0,3,2,0
badgrre01,98,382,143,2
baergca01,1583,5439,1630,134
baezja01,173,710,222,24
baezjo01,87,355,114,1
baezke01,27,151,63,0
bagwebi01,42,143,92,2
bagweje01,2314,7797,2150,449
bahrefr01,0,8,2,0
bailebi02,1,9,5,0
bailebo01,1564,6082,1931,189
baileed01,915,3581,1212,155
bailefr01,23,124,60,1
bailege01,156,634,213,2
baileje01,31,136,56,6
baileji01,0,3,3,0
baileki01,2,4,1,0
bailema01,209,949,340,24
bailobo01,775,2937,955,9
baineha01,2866,9908,2830,384
bainlo01,1,3,3,0
bairdal01,27,107,48,0
bairddo01,492,2106,617,6
baislje01,11,43,14,0
bakeral01,0,4,3,0
bakerbi01,145,588,263,2
bakerbo01,1,7,2,0
bakerch01,8,57,15,1
bakerch02,27,146,93,0
bakerda01,5,20,9,0
bakerde01,63,302,173,0
bakerdo01,51,246,136,0
bakerdu01,1981,7117,2039,242
bakerer01,0,2,1,0
bakerfl01,573,2280,874,1
bakerfr01,1838,5984,1575,96
bakerfr02,82,353,125,4
bakerfr03,55,288,146,1
bakerge01,74,474,126,0
bakerge02,590,2230,630,39
bakerho01,18,82,29,0
bakerja01,3,26,14,1
bakerje03,474,1793,748,54
bakerjo01,266,1076,359,14
bakerph01,212,817,195,3
bakopa01,508,2202,789,24
balazjo01,39,162,59,2
balbost01,714,3120,960,181
balcebo01,0,2,7,0
baldero01,531,1910,519,60
baldwbi01,27,117,39,5
baldwfr01,2,20,16,0
baldwhe01,5,16,6,0
baldwje01,0,8,7,0
baldwki01,371,1677,441,7
baldwre01,21,87,52,1
balenmi01,40,219,78,0
balenwl01,113,511,170,15
balesle01,4,43,31,0
ballar01,16,84,33,0
ballepe01,1,9,3,0
ballje01,1,4,2,0
ballji01,7,51,16,0
ballne01,404,1609,501,4
bambeha01,1,12,7,0
banckst01,11,72,19,0
bancrda01,2004,7182,1913,32
bandoch01,292,1284,497,27
bandosa01,1790,7060,2019,242
bandyje01,50,211,72,9
banisje01,1,1,1,0
banksbr01,122,495,273,13
bankser01,2583,9421,2528,512
banksev01,5,36,11,1
banksge01,44,201,106,9
bankswe01,12,59,17,1
bannial01,811,3007,972,19
banniji01,0,1,2,0
bannoji01,459,1433,366,19
bannoto01,44,166,39,0
bantzbr01,0,2,1,0
barajro01,812,3460,1114,136
barbare01,0,1,1,0
barbawa01,462,1777,500,1
barbebr01,388,1434,479,16
barbech01,41,204,55,0
barbeda01,92,374,116,6
barbeja01,160,712,199,0
barbetu01,442,1531,491,2
barbiji01,23,82,39,0
barclge01,382,1538,401,4
bardebr01,37,175,119,4
bardjo01,452,1778,586,39
barfije01,1219,4759,1428,241
barfijo02,267,1012,309,16
barkeal01,1,4,1,0
barkean01,14,46,17,1
barkegl01,38,164,235,3
barkeke01,71,285,126,6
barkera01,68,318,192,10
barkese01,0,2,3,0
barklre01,43,163,63,0
barklsa01,602,2329,582,10
barloto01,174,607,126,1
barmebr01,1,5,5,0
barmecl01,932,3805,1186,89
barnaba01,154,664,207,12
barneau01,11,61,41,0
barnebi01,6,30,8,0
barnebo01,0,2,2,0
barnebr02,279,1153,465,19
barneda01,547,2200,685,25
barneed01,61,272,88,0
barneep01,1,7,4,0
barnejo01,14,58,20,0
barnela01,12,78,46,1
barnelu01,18,74,27,0
barnere01,225,836,286,8
barnero01,859,2392,499,6
barnesa01,2,11,7,0
barnesk01,159,614,353,14
barnhcl01,788,2673,814,27
barnhle01,1,5,3,0
barnhtu01,168,673,217,11
barnhvi01,55,204,74,0
barnibi01,55,321,83,0
barnwch01,2,30,13,0
barondi01,0,6,3,0
baronst01,0,11,4,0
barracu01,33,163,69,1
barrage01,18,62,60,0
barre01,7,34,8,0
barrebi01,2,13,3,0
barrebo01,169,650,239,10
barreji01,962,3306,866,16
barrejo01,454,1811,588,23
barrema01,1,19,8,0
barrema02,938,3378,941,18
barremi01,925,3512,1054,98
barreto01,17,84,54,0
barrijo01,3,19,10,0
barrocu01,19,99,32,0
barrofr01,13,86,18,0
barrore01,4,21,10,0
barroto01,54,190,58,4
barrsc01,12,107,41,0
barryha01,0,4,3,0
barryja01,1009,4146,1223,10
barryje01,53,217,104,5
barryri01,6,32,20,0
barrysh01,1073,4014,1100,10
bartedi01,2165,7629,2016,79
barteki01,90,416,243,4
barthji01,0,3,3,0
bartito01,78,355,124,0
bartlbo01,1,21,9,0
bartlir01,8,46,14,0
bartlja01,849,3141,892,31
bartobo01,237,1049,393,9
bartobr01,41,153,82,2
bartoda01,12,47,24,0
bartoda02,431,1744,551,30
bartoha01,10,60,29,0
bartovi01,87,373,102,16
basakch01,0,1,5,0
basgamo01,110,512,200,4
bashaal01,2,17,8,0
bashowa01,2,10,10,0
basined01,147,602,203,4
bassdi01,0,2,1,0
bassdo01,1,1,2,0
bassech01,806,3493,917,15
bassjo01,29,100,25,3
basske01,1308,4839,1571,118
bassljo01,704,2319,811,1
bassra01,69,325,130,9
bastich01,342,1806,503,11
batchem01,315,1253,348,7
batemjo01,765,3330,1017,81
batesaa01,4,11,5,0
batesbi01,6,48,29,0
batesbu01,15,58,15,1
batesch01,9,38,9,0
batesde01,8,60,22,0
batesja01,162,677,319,12
batesjo01,0,4,1,0
batesjo02,1087,3913,1154,25
batesra01,120,515,154,2
bathebi01,39,183,121,8
batiske01,2,8,6,0
batiski01,154,658,251,10
batisra01,7,25,22,0
batisto01,1146,4568,1309,221
battala01,1,4,2,0
batteea01,969,3586,1141,104
battege01,0,3,1,0
battijo01,439,1953,480,3
battlal01,57,248,108,1
battlho01,9,37,29,1
battlji01,3,8,6,0
battsma01,432,1605,546,26
bauerha01,1424,5145,1544,164
baughju01,55,218,79,1
baumapa01,248,904,299,4
baumeji01,7,34,18,0
baumgjo01,5,27,7,0
baumhfr01,1010,3477,1019,25
bautida01,685,2517,895,62
bautijo02,1311,5139,1519,308
baxesji01,69,280,88,17
baxesmi01,73,337,146,1
baxtemi01,95,417,232,4
baxtemo01,4,21,6,0
bayha01,722,2640,673,5
bayja01,1200,4505,1278,222
bayledi01,16,71,19,1
baylodo01,2135,8198,2292,338
beachja01,3,31,8,0
beallbo01,54,234,148,1
bealljo01,43,170,58,3
bealsto01,131,539,123,0
beamal01,1,6,2,0
beamoch02,10,51,45,0
beamotr01,40,158,95,0
beanbi01,108,478,272,5
beanebi01,66,301,148,3
beanjo01,39,176,48,0
beardol01,353,1307,331,4
beardte01,94,474,194,6
beaslle01,7,32,25,0
beatlda01,0,3,1,0
beattde01,0,3,2,0
beaucji01,153,661,393,14
beaumgi01,1759,5660,1463,39
beaveed01,15,58,13,0
beckcl01,354,1525,468,12
beckebe01,763,2764,876,45
beckegl01,1473,5208,1320,22
beckehe01,25,137,55,0
beckehe02,94,358,152,2
beckejo01,20,83,40,1
beckema01,13,52,17,0
becker01,265,912,232,9
beckeri01,570,2227,789,45
beckfr02,536,2130,635,33
beckhgo01,748,3119,953,74
beckhti01,97,408,151,14
becklja01,2930,9526,2386,86
beckri01,0,7,3,0
beckzi01,204,902,290,3
becquju01,238,974,487,12
bedelho01,28,145,67,0
bedfoge01,0,3,2,0
beeched01,325,1190,283,7
beeched02,9,37,11,0
beelejo01,0,3,3,0
beglege01,2,16,5,0
begleji01,1,5,2,0
behelst01,54,257,68,0
bejmaol01,222,906,316,14
belanma01,1316,5784,2016,20
belarwa01,143,592,263,28
belchke01,2,15,16,0
beldeir01,8,30,8,0
belkti01,3,15,7,0
bellast01,69,274,60,0
bellaze01,18,92,52,1
bellbe01,806,2718,767,46
bellbu01,2514,8995,2405,201
bellda01,1239,4826,1403,123
bellde01,1262,4578,1210,134
belleal01,1726,5853,1539,381
bellfe01,75,265,89,2
bellfr01,5,29,10,0
bellge02,1702,6123,1587,265
bellgu01,1823,6478,1741,206
bellhma01,484,2107,731,69
bellicl01,60,311,183,12
bellira01,508,2301,1154,2
belliro01,1377,5045,1484,114
bellja01,1963,7398,2063,195
belljo01,53,272,100,4
belljo02,35,128,45,3
bellju01,177,836,329,10
bellke01,161,726,297,13
bellle01,938,3239,896,66
bellmi01,15,75,53,2
bellmi02,6,27,19,2
bellmja01,1,2,1,0
belloed01,3,13,8,0
belloro01,36,167,81,0
bellra01,0,2,3,0
bellru01,11,52,17,0
