ET,N,adaptive,alpha,avg_accept,avg_samples,avg_stop,beta,false_discoveries,fdp,min_AB,n_discoveries,n_tests,nrep,power,prior,s,step,steps,target,test,timestamp,true_discoveries,true_effects,type_one_error
5000,4000,,0.05,0.0,260.7496067121133,260.7496067121133,0.2,0,0.0,200,0,114420,20,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.35,,,H/AB,msprt,1525044659.0,0,120,0.0
5000,200,,0.05,200.0,200.0,200.0,,206,0.0390521327014218,200,5275,286050,50,0.04312207571246278,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.26,,,H/AB,fixed,,5069,117550,0.0012225519287833828
5000,2000,,0.05,1071.6875753920385,1986.5483132319525,2000.0,0.2,70,0.04221954161640531,200,1658,114420,20,0.2962686567164179,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.3,,,H/AB,fixed-early,1525050332.0,1588,5360,0.0006418485237483953
5000,2000,,0.05,2000.0,2000.0,2000.0,,15,0.01031636863823934,200,1454,286050,50,0.20557142857142857,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.31,,,H/AB,fixed,,1439,7000,5.375380756136893e-05
2000,5000,,0.05,630.4748711340206,14.128495018353435,10.766188163009934,,76,0.04896907216494845,200,1552,286050,50,0.032052117263843646,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.28,,,H/AB,heuristic,,1476,46050,0.00031666666666666665
5000,5000,0.0,0.05,0.0,1.0,1.0,0.05,0,0.0,200,0,572100,100,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,1.0,H/AB,bayesian,1525214082.0,0,3400,0.0
5000,2000,,0.05,1444.5217391304348,661.3242440132844,660.3785023013248,0.2,0,0.0,200,690,572100,100,0.04928571428571429,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.31,,,H/AB,msprt,1525046295.0,690,14000,0.0
5000,200,,0.05,200.0,200.0,200.0,0.2,109,0.01897302001740644,200,5745,114420,20,0.08795255930087391,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.25,,,H/AB,fixed,1525043352.0,5636,64080,0.002165276122367898
5000,5000,0.0,0.05,1037.64454071084,282.2269970284915,208.63640409349435,0.2,2996,0.05899379738111647,200,50785,572100,100,0.3057517594369802,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.27,,1.0,H/AB,bayesian,1525214082.0,47789,156300,0.007205387205387205
5000,2000,,0.05,1329.8104265402844,850.1499737808075,848.3743574448674,0.2,0,0.0,200,422,114420,20,0.07873134328358208,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.3,,,H/AB,msprt,1525043898.0,422,5360,0.0
2000,5000,,0.05,1435.2222222222222,6.743453941618598,6.518697225572979,0.2,0,0.0,200,18,114420,20,0.026470588235294117,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,,H/AB,heuristic,1525043379.0,18,680,0.0
5000,2000,,0.05,1166.4147286821706,1994.7370914175845,2000.0,,83,0.04595791805094131,200,1806,286050,50,0.24614285714285714,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.31,5.0,,H/AB,fixed-early,,1723,7000,0.00029743773517290807
5000,4000,0.0,0.05,1313.4217067108534,25.533001223562316,22.81010627210353,0.1,49,0.04059652029826015,200,1207,572100,100,0.043208955223880595,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.3,,10.0,H/AB,bayesian,1525214010.0,1158,26800,8.985879332477536e-05
5000,500,,0.05,500.0,500.0,500.0,,233,0.02480042575838212,200,9395,286050,50,0.11723608445297505,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.27,,,H/AB,fixed,,9162,78150,0.0011207311207311207
5000,1000,,0.05,740.5862068965517,999.9342510050691,1000.0,0.2,1,0.034482758620689655,200,29,114420,20,0.041176470588235294,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,,H/AB,fixed-early,1525046351.0,28,680,8.791981712678038e-06
5000,2000,,0.05,1103.0498809374608,1465.3517392064325,1486.7578269626645,0.2,67,0.002099260558967289,200,31916,572100,100,0.20376839411388356,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.27,,,H/AB,msprt,1525046295.0,31849,156300,0.00016113516113516114
5000,200,,0.05,0.0,200.0,200.0,0.2,0,0.0,200,0,114420,20,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.34,,,H/AB,fixed,1525043352.0,0,320,0.0
5000,5000,0.0,0.05,0.0,1.0,1.0,0.1,0,0.0,200,0,572100,100,0.0,"{'distribution': 'Beta', 'params': [56.871122947050054, 167.9297991125401]}",0.33,,1.0,H/AB,bayesian,1525214080.0,0,3400,0.0
